prec1_train,prec1_val,loss_train,loss_val
51.71156,20.20202,1.374235919295203,2.6222578178752554
69.58474,35.52189,0.8795532709286537,2.3807569826492156
74.74747,52.69360,0.7574266787329909,1.7198456096328067
76.12233,47.64310,0.7160122510961411,2.362741489603062
70.98765,44.02357,0.9088670480599174,2.1788673651740207
77.38496,48.56902,0.7136660312562679,1.8857319644003203
69.72503,14.39394,0.9562266068292654,7.967533790703976
72.36251,22.30640,0.8876324479962573,4.938626909898186
71.82941,26.59933,0.901135127418638,6.747081140075067
74.94388,50.84175,0.7777778917691524,2.283130264844156
73.82155,45.79125,0.8167092378693398,2.4923757960900716
76.26263,51.68350,0.7727405996167432,2.1018015872749816
76.17845,44.94949,0.7903063694636027,2.2115292019314237
72.22222,54.04040,0.9090121193766996,1.8169659360089285
75.08418,48.98990,0.806233565413992,1.697951392292575
62.93490,9.09091,1.1913118243351262,6.73065089216136
57.71605,9.09091,1.2475323268995275,5.546876273171268
37.00898,9.09091,1.6567927197575167,5.580213736203383
38.83277,9.09091,1.5830098255448604,5.461118157865222
39.73064,25.92593,1.551065106718361,2.282340012816869
42.11560,25.16835,1.5241088152734519,2.4567025903900865
41.63861,21.04377,1.5015003413597474,2.8032723797692194
41.63861,27.60943,1.4999585058017477,2.4236077315076834
42.67677,34.25926,1.4887356771496945,2.304982815527354
43.15376,29.71380,1.494831680314977,2.3623424892875082
43.01347,32.91246,1.4689974125253098,2.261425913383664
42.67677,32.07071,1.4610505607125468,2.306626624932594
41.04938,28.03030,1.4977265046501802,2.942589190672544
42.64871,33.92256,1.464965798905669,2.4330162833435365
44.69697,25.16835,1.4438149574495993,2.482655093324706
46.80135,32.82828,1.3646775932290605,2.3084782269667294
48.84961,37.28956,1.332333223319348,2.347444464461972
48.93378,34.34343,1.3782929765388754,2.3347285484224054
48.93378,37.03704,1.329955003210725,2.337127260888867
48.17621,33.75421,1.3597649673018792,2.4238793432511865
50.11223,34.09091,1.3359178327416998,2.375159138380879
48.17621,37.12121,1.3685426175527433,2.355855933744899
49.88777,32.15488,1.3245329535770096,2.398258530330979
48.93378,39.73064,1.3459528961566964,2.2490476711029155
49.46689,32.74411,1.3355796634147463,2.4037329476289075
48.45679,28.61953,1.3607517124961657,2.378630107500738
50.22447,39.56229,1.3234020751199604,2.377936652212432
49.46689,34.42761,1.3262927204403947,2.3036489231819255
50.14029,35.69024,1.3045815185264305,2.5142851654527965
51.31874,41.66667,1.2823493334848337,2.333244036343764
50.05612,32.07071,1.3292307037563302,2.5724589977200183
51.03816,31.90236,1.3191371289166538,2.4437193782241255
50.95398,35.18519,1.2920223526681713,2.540296293669678
50.47699,37.96296,1.324388943135939,2.349851446119623
51.79574,31.06061,1.2745508227150315,2.4872088095154425
49.41077,45.20202,1.3015734045593828,2.2102020132019864
51.62738,31.81818,1.269829421867559,2.357355084884849
50.36476,28.53535,1.2906577565720854,2.5734475373419046
52.10438,32.82828,1.2630539571931199,2.6766734709241975
51.62738,34.42761,1.2822831649705349,2.366626102113563
50.42088,40.15152,1.2740512698989124,2.22842398556796
50.33670,38.38384,1.3021165742617264,2.3728032063956213
52.69360,36.11111,1.273861121649694,2.3862870510178382
52.24467,28.03030,1.2635114380272416,2.489317435608167
50.00000,34.09091,1.3191113849280258,2.435087964189574
54.26487,41.07744,1.1963058483988616,2.3604062077172276
53.17059,37.37374,1.2367655640900737,2.3367532953268753
55.07856,40.48822,1.1656517551670438,2.3617575754621614
55.49944,39.64646,1.1774701716254992,2.4238103150518655
56.36925,38.29966,1.1516019259772852,2.483089009519378
55.27497,41.16162,1.1789992847025195,2.455959586583404
53.70370,38.38384,1.181528090627908,2.49435598360569
54.26487,38.13131,1.1886037756029337,2.4086692273014725
54.29293,40.48822,1.2128247155083551,2.367302888170236
54.12458,37.45791,1.1999560537027858,2.3970780737873683
55.55556,39.81481,1.1879643654047305,2.5078194165470626
53.70370,40.23569,1.1945805124160818,2.461691561772767
54.48934,36.78451,1.166568561234458,2.480994438081478
54.40516,37.96296,1.1859844960481363,2.4859523179153804
56.17284,38.97306,1.167022146627424,2.290488205373488
55.05051,38.97306,1.1898862966383346,2.509406407674154
54.96633,39.14141,1.210167678250742,2.373503667336923
54.18070,42.59259,1.1813345926779288,2.287373089228415
54.34905,35.01684,1.1955271059548949,2.350477453434106
55.66779,40.48822,1.1871175604102053,2.4638247622383966
55.19080,41.91919,1.1784009102619055,2.4879838208156806
55.27497,44.44444,1.181541940379223,2.350247876009957
55.41526,41.91919,1.1841958310333833,2.4851712690860737
55.52750,37.37374,1.1805220050308707,2.465694769464358
54.85410,39.73064,1.1926196889845209,2.4010191054055183
54.85410,37.62626,1.1997787712934176,2.471057912315985
54.65769,35.77441,1.1827228765027424,2.538527072880806
56.00449,38.55219,1.1676174184154848,2.370115978147847
54.54545,40.23569,1.194587403274947,2.4410406427351314
54.51740,38.72054,1.2029555839320225,2.4253080356803407
