prec1_train,prec1_val,loss_train,loss_val
51.71156,20.20202,1.374235919295203,2.6222578178752554
69.58474,35.52189,0.8795532709286537,2.3807569826492156
74.74747,52.69360,0.7574266787329909,1.7198456096328067
76.12233,47.64310,0.7160122510961411,2.362741489603062
70.98765,44.02357,0.9088670480599174,2.1788673651740207
77.38496,48.56902,0.7136660312562679,1.8857319644003203
69.72503,14.39394,0.9562266068292654,7.967533790703976
72.36251,22.30640,0.8876324479962573,4.938626909898186
71.82941,26.59933,0.901135127418638,6.747081140075067
74.94388,50.84175,0.7777778917691524,2.283130264844156
73.82155,45.79125,0.8167092378693398,2.4923757960900716
