prec1_train,prec1_val,loss_train,loss_val
54.15264,60.26936,1.3290642044359586,1.4615803599758983
73.14815,33.08081,0.8450070860409977,2.4545690796592017
70.14590,54.46128,0.9043099791915329,2.0515500600089127
66.83502,57.07071,1.0703227075797273,1.9129279452542263
62.09315,30.97643,1.22945793028231,2.0658889908581872
65.12346,64.98316,1.2001623537403967,1.6794711600249062
72.25028,55.05051,1.0071727568586801,2.24737688427421
71.91358,50.67340,0.9668243645818948,2.3422507284466265
68.01347,53.61953,1.1044474901708823,2.5608199979319717
66.07744,48.06397,1.143903227767559,2.1658923694180316
65.93715,33.67003,1.1387067585012862,2.4769274937584744
69.41639,48.65320,0.911570473819737,1.8755800234348283
72.27834,47.81145,0.879515445861217,2.2938662988168224
67.05948,37.62626,1.1445354947738775,3.1521028918449323
59.03479,39.73064,1.1993649288192476,1.82052382957253
56.06061,50.50505,1.164757608297029,1.7600997826868436
58.97868,38.38384,1.1231253147125244,1.8034440299075862
61.33558,52.10438,1.1050848465174536,1.7814712223380502
60.26936,47.64310,1.0898912367060798,1.7607663400245435
62.93490,39.14141,1.0663941301213102,1.8444193485208633
64.05724,46.12795,1.037258321454897,1.8023705000829215
64.81481,49.74747,0.9854662857205512,1.786915694824373
64.67452,54.46128,0.9828420645326342,1.627869396498709
67.95735,52.94613,0.9556425512171487,1.8254760367300373
69.69697,49.66330,0.9131626643984674,1.8734384233301336
68.88328,54.62963,0.9267529706762294,1.5726693623796457
68.06958,49.07407,0.9122080857772484,1.887129783630371
66.63861,50.16835,0.9446318170973481,1.7546923891061084
70.25814,57.57576,0.8703115121550298,1.610968894027299
69.27609,44.94949,0.90861260409307,1.8303087207203361
71.60494,49.74747,0.8284711289218513,1.6768105977312082
72.86756,48.82155,0.7937340454086578,1.6194591552320152
73.98990,56.73401,0.7601763796057096,1.5831415412401912
74.74747,54.54545,0.7557413207427688,1.6203491507154522
74.46689,55.55556,0.7685405294234237,1.552925129530807
74.43883,55.05051,0.7641910228932612,1.6909316445039178
74.66330,50.16835,0.7553534103697531,1.7361152083785445
74.43883,56.73401,0.7654135996511354,1.570000597122141
73.84961,55.13468,0.7861744224289318,1.7287632712611445
74.01796,55.13468,0.7604692204365158,1.6181066582098553
73.93378,48.31650,0.7698293662097987,2.0234909402802335
73.42873,49.83165,0.7701964349591505,1.8713268804229068
73.06397,47.72727,0.7871436158949813,1.9515637677125257
74.83165,56.81818,0.7609041453611971,1.5743543874936472
75.30864,52.94613,0.719150195251544,1.669411944219159
74.32660,55.05051,0.7621452830121439,1.6918631344531923
74.49495,56.14478,0.7493553227179514,1.64557347745205
74.38272,55.30303,0.7509281257989029,1.6533197782657765
74.74747,53.78788,0.7604027145639413,1.9091143118412004
74.21437,47.81145,0.7663454109704588,1.684373378753662
74.80359,55.63973,0.7575489064525942,1.5948468787902934
74.41077,56.56566,0.7665471896846955,1.5876584346045548
74.69136,55.97643,0.759704476922717,1.6145615995130957
74.69136,54.62963,0.7587510998936748,1.5829952614074605
74.15825,54.79798,0.7695355951183974,1.617032252076499
75.30864,52.86195,0.7323523297588165,1.713723696241475
73.87767,50.00000,0.7762602823885737,1.8683409329616663
75.36476,54.96633,0.7317421251675899,1.6973966942090377
74.94388,55.97643,0.7462979221986199,1.6252434502547035
76.31874,51.26263,0.7372021131911529,1.8339388635423448
76.93603,54.37710,0.6915039209404377,1.693844543362306
77.38496,56.31313,0.6842228346802168,1.6717063993315906
77.49719,53.95623,0.6926994672929397,1.662742747602238
76.65544,55.63973,0.6807327516686368,1.7123777159938105
77.27273,56.81818,0.6798168239502527,1.645928838036277
77.41302,55.72391,0.6899806230959266,1.6577345967694164
77.46914,54.88215,0.6901266880575923,1.7305549916996297
76.90797,56.90236,0.6981811214376379,1.68645187419673
77.24467,56.73401,0.6958298166726709,1.636001989496276
77.97419,56.06061,0.686168499265857,1.6411715886408231
76.62738,56.64983,0.6929355974818185,1.6866645825029625
77.44108,55.13468,0.6881761744902726,1.7438783561340485
77.83389,55.80808,0.6964160643442713,1.624253760082553
78.19865,55.97643,0.6768438830787753,1.726215458076811
77.49719,54.88215,0.6770071901054896,1.7648843193696404
76.26263,55.21886,0.6979392724807816,1.7510296226751925
77.60943,52.52525,0.6822415493955516,1.754095652488747
77.35690,56.39731,0.6807855636583836,1.6979251249069316
76.17845,57.49158,0.7156523836715989,1.7009432560667044
77.69360,53.95623,0.6782575602215682,1.7407126900322911
77.02020,53.45118,0.706059871097205,1.7361128450644137
77.97419,56.98653,0.6761204146107974,1.7096395661132504
78.45118,53.61953,0.6595515689732115,1.859083916201736
76.93603,57.07071,0.6938993241784281,1.7354658842086792
77.44108,55.38721,0.6743836981546464,1.720915806815279
76.93603,54.88215,0.6883565953417392,1.639520492718276
78.05836,56.22896,0.6653707868322379,1.6508975717355105
76.26263,55.05051,0.7033919397026601,1.7775637212425772
77.30079,53.95623,0.693008949927877,1.7582687412448201
77.02020,54.88215,0.6999473653056405,1.7022794521216191
